,Adele,Ariana Grande,Benson Boone,Billie Eilish,Bruno Mars,Chainsmokers,Clairo,Coldplay,Daniel Caesar,Doja Cat,Dua Lipa,Ed sheeran,Gracie Abrams,Halsey,Harry Styles,Justin Bieber,Katy Perry,Lady Gaga,Lana Del Rey,Laufey,Maroon 5,Miley Cyrus,Olivia Dean,Paramore,SZA,Sam Smith,Shakira,Sombr,Tate Mcrae,Taylor Swift,Weekend
Adele,0.9999999999999999,-0.556274158221879,-0.34214466681688926,0.060616479080904756,-0.18859443692667294,-0.6633081731727918,0.5602035249604245,-0.0840326249335162,0.25431609883769085,-0.1950801229046343,0.16269928507395978,-0.6233526244444387,0.7188394508290732,-0.43338063436653906,-0.8650069564110862,0.053694826325898816,-0.6214532345028897,0.08608759734614145,-0.4027467392379514,0.3915955639239995,-0.7965622336603171,-0.053484431111419824,-0.9041037798973751,-0.5255618386821704,-0.33727353201664084,0.3918650712204781,0.8954285089365605,-0.7366223157074074,0.8624852745763077,0.6299518696043402,-0.09504788669059898
Ariana Grande,-0.556274158221879,0.9999999999999999,0.9013240523155727,-0.7781715988446882,0.885227379948742,0.1624329224627453,-0.9582110887659957,-0.5842552872217136,-0.8636858752114979,0.8198864190032622,0.5359854528400027,0.29545374641669153,-0.14056553456033452,0.9615067255839634,0.42033147269315013,-0.6496930597686196,0.9825928207447956,0.6674019212646907,-0.4218259504350823,-0.7663302693683888,0.8603305805360166,0.6104372168598827,0.3292064206444599,0.8167259688475457,0.5559024618135469,-0.5995011189086402,-0.4743353373908733,0.8605433505612945,-0.18868597392181302,-0.6736402955490063,0.6196804473555135
Benson Boone,-0.34214466681688926,0.9013240523155727,1.0,-0.8627849364591689,0.8754665037674807,0.03257298625374986,-0.8959108641923986,-0.6604525486960204,-0.87212769947042,0.7786040864954018,0.45918717036243206,0.3334881021164926,0.11605926686231345,0.9431046621551935,0.31131936415550854,-0.6136700891603919,0.8574900473737008,0.6206626718332223,-0.635778907786462,-0.8333694597834709,0.7193734364289937,0.7483325978565873,0.11029242387396529,0.7397746304297762,0.3788920105056575,-0.31264152887470326,-0.24871471435952422,0.7533360338743976,-0.033664223527571605,-0.46106497960705367,0.6609724296756234
Billie Eilish,0.060616479080904756,-0.7781715988446882,-0.8627849364591689,1.0,-0.8689810107545214,0.3726241040939187,0.8302876850478098,0.9098245558383871,0.9685951880002731,-0.7188536914070351,-0.5926328986700246,0.11860823531085493,-0.30086051992155016,-0.8401663793296493,0.10748471071514348,0.8846584130029252,-0.7189668788062509,-0.7980503948769757,0.8704510930798197,0.7927748553080676,-0.454565669545711,-0.7817148864795889,0.249104502579484,-0.5337946374871395,-0.3904698233682338,0.3925110790419024,0.04904411783561972,-0.5679709212137252,-0.34475038640699673,0.4914305106457388,-0.5723246608954166
Bruno Mars,-0.18859443692667294,0.885227379948742,0.8754665037674807,-0.8689810107545214,1.0,-0.13239185349238408,-0.8607336023798009,-0.7270243270223748,-0.881306981394685,0.7448552930084246,0.7693256365617029,0.002895263785489149,0.21498921467036802,0.917603913435067,0.08672203736862641,-0.7140690873735036,0.8605125876299813,0.8624512744897364,-0.6497150164549279,-0.7450449072339428,0.608723190213633,0.7545013273964877,-0.026264577726862477,0.6757953299246701,0.573424334686273,-0.46789045629184806,-0.15114477386004713,0.7038810927629845,0.1853541049724978,-0.5105554998233878,0.5857394598705493
Chainsmokers,-0.6633081731727918,0.1624329224627453,0.03257298625374986,0.3726241040939187,-0.13239185349238408,0.9999999999999998,-0.07766145423610829,0.5901479762601027,0.2806128001407785,0.08968378905842697,-0.3115342685746965,0.7432567565396728,-0.675095059785654,0.08131306381963302,0.7533181658915264,0.4751858233856856,0.2236778786894481,-0.4661979625671595,0.5927439780325929,0.13552314246588654,0.5849232570814555,-0.3553069445483418,0.8129070681520322,0.338420614745968,-0.18326418476762474,0.0510208347309646,-0.6220753352804198,0.25138379721327786,-0.8204185249620533,-0.01984749502163569,0.053506008940236806
Clairo,0.5602035249604245,-0.9582110887659957,-0.8959108641923986,0.8302876850478098,-0.8607336023798009,-0.07766145423610829,0.9999999999999998,0.6849490193448221,0.9084308106412724,-0.7325603669657341,-0.4685996144540603,-0.2173210398986422,0.15011031928643906,-0.9364811439099184,-0.38211081871915503,0.7277697560364182,-0.9588818064955332,-0.6593758906489416,0.47576015645371583,0.8110859989914614,-0.8187094977967356,-0.6456396836872926,-0.294913050614339,-0.7397901207810099,-0.48451462215709207,0.5721749724742604,0.5338252638794231,-0.8691007210381534,0.1678753127414829,0.7717142276985679,-0.4718499712506986
Coldplay,-0.0840326249335162,-0.5842552872217136,-0.6604525486960204,0.9098245558383871,-0.7270243270223748,0.5901479762601027,0.6849490193448221,1.0,0.8868958993818981,-0.47941033252696497,-0.6146398987640629,0.40523781548078525,-0.4147882077402276,-0.6683879669138116,0.27176268889568356,0.8849810149699482,-0.5448946490817345,-0.8358270323285105,0.837852819869155,0.7040585347022911,-0.18652764249116421,-0.7916809225723707,0.4059940989683024,-0.2877497949635885,-0.44463054132826313,0.29906630860911665,-0.08900791738226209,-0.45323314411567045,-0.49805489813925624,0.5088645881757423,-0.2510776317561178
Daniel Caesar,0.25431609883769085,-0.8636858752114979,-0.87212769947042,0.9685951880002731,-0.881306981394685,0.2806128001407785,0.9084308106412724,0.8868958993818981,0.9999999999999997,-0.7125731494659575,-0.5775021665970894,0.04724843107083978,-0.1505642450001746,-0.8960178038491378,-0.05798599324536316,0.8905373882363087,-0.8252116983091489,-0.8050980356854157,0.7369389281753236,0.8447635537749218,-0.5731270727216283,-0.7719328051130939,0.06128579151340292,-0.6183038871782853,-0.5283666369240583,0.5063031171866178,0.21515361347613954,-0.7168111897867965,-0.18891880490951882,0.6569907939998977,-0.548710009363191
Doja Cat,-0.1950801229046343,0.8198864190032622,0.7786040864954018,-0.7188536914070351,0.7448552930084246,0.08968378905842697,-0.7325603669657341,-0.47941033252696497,-0.7125731494659575,1.0,0.4966489708682022,0.189412544729915,-0.0910213107940577,0.8070101150867665,0.09236151657414181,-0.6027038268979326,0.7543250216092398,0.5762772262819332,-0.5719152656025472,-0.43326293041416836,0.6976992583026733,0.33861420166305556,0.03701274927582226,0.6732586270829711,0.17482990040645863,-0.5241903033826948,-0.22045138491471508,0.45519837783261125,0.09045403901201127,-0.3648847621693531,0.7798653099457312
